Frequency (Hz)	Level (dB)
2.691650	-62.012245
5.383301	-69.582436
8.074951	-62.140236
10.766602	-61.085861
13.458252	-58.976166
16.149902	-58.451046
18.841553	-61.695164
21.533203	-53.737316
24.224854	-52.255074
26.916504	-56.831501
29.608154	-66.680252
32.299805	-57.464027
34.991455	-60.117447
37.683105	-62.317039
40.374756	-51.196339
43.066406	-53.130623
45.758057	-60.740093
48.449707	-56.293045
51.141357	-51.242886
53.833008	-59.015213
56.524658	-56.794323
59.216309	-48.943405
61.907959	-45.874165
64.599609	-52.518906
67.291260	-53.732925
69.982910	-51.804417
72.674561	-52.399475
75.366211	-61.102779
78.057861	-54.297974
80.749512	-52.518009
83.441162	-55.669411
86.132813	-65.766045
88.824463	-55.184086
91.516113	-56.913952
94.207764	-66.646095
96.899414	-60.301258
99.591064	-49.339859
102.282715	-44.602249
104.974365	-45.498726
107.666016	-56.786034
110.357666	-47.465893
113.049316	-46.355743
115.740967	-49.755135
118.432617	-43.136200
121.124268	-39.006401
123.815918	-28.515478
126.507568	-32.128132
129.199219	-47.546474
131.890869	-39.684891
134.582520	-55.396473
137.274170	-37.711334
139.965820	-38.055206
142.657471	-30.478369
145.349121	-25.273157
148.040771	-33.059395
150.732422	-33.831684
153.424072	-22.227478
156.115723	-21.567402
158.807373	-33.993080
161.499023	-34.243359
164.190674	-35.194965
166.882324	-33.336475
169.573975	-42.736721
172.265625	-46.386276
174.957275	-45.958500
177.648926	-36.361900
180.340576	-42.904198
183.032227	-44.045643
185.723877	-32.362797
188.415527	-33.484428
191.107178	-49.503159
193.798828	-43.427681
196.490479	-40.548470
199.182129	-42.350746
201.873779	-51.115040
204.565430	-34.839592
207.257080	-27.301926
209.948730	-33.763554
212.640381	-41.888428
215.332031	-43.572235
218.023682	-49.196381
220.715332	-44.460667
223.406982	-35.382511
226.098633	-25.327705
228.790283	-22.119631
231.481934	-35.382301
234.173584	-30.126802
236.865234	-33.838028
239.556885	-44.986568
242.248535	-40.448612
244.940186	-43.156109
247.631836	-29.740664
250.323486	-28.367773
253.015137	-41.427425
255.706787	-51.101173
258.398438	-45.704811
261.090088	-44.085922
263.781738	-43.781090
266.473389	-46.945297
269.165039	-43.743626
271.856689	-48.620945
274.548340	-47.037945
277.239990	-47.395889
279.931641	-61.988770
282.623291	-52.518238
285.314941	-45.713394
288.006592	-48.476200
290.698242	-52.496365
293.389893	-50.588726
296.081543	-56.012619
298.773193	-52.749226
301.464844	-41.925320
304.156494	-32.514305
306.848145	-24.105776
309.539795	-21.996752
312.231445	-26.464865
314.923096	-31.899227
317.614746	-38.836815
320.306396	-37.722137
322.998047	-44.460857
325.689697	-51.467506
328.381348	-53.423038
331.072998	-47.052212
333.764648	-46.934464
336.456299	-55.031715
339.147949	-54.747471
341.839600	-66.594276
344.531250	-57.941959
347.222900	-57.139893
349.914551	-55.509296
352.606201	-48.344749
355.297852	-55.762341
357.989502	-63.755089
360.681152	-60.774895
363.372803	-69.624222
366.064453	-54.891350
368.756104	-57.821468
371.447754	-60.271912
374.139404	-54.061207
376.831055	-51.915958
379.522705	-52.645256
382.214355	-51.358124
384.906006	-51.039486
387.597656	-49.257610
390.289307	-52.588837
392.980957	-55.975754
395.672607	-56.524384
398.364258	-54.807575
401.055908	-59.406826
403.747559	-58.678444
406.439209	-61.555656
409.130859	-49.402740
411.822510	-49.040649
414.514160	-42.885315
417.205811	-47.307804
419.897461	-55.851269
422.589111	-54.515270
425.280762	-56.700333
427.972412	-51.500980
430.664063	-50.294052
433.355713	-58.406487
436.047363	-49.649082
438.739014	-49.921825
441.430664	-49.125969
444.122314	-51.185509
446.813965	-55.118317
449.505615	-51.402992
452.197266	-55.528568
454.888916	-46.625515
457.580566	-53.189014
460.272217	-41.941376
462.963867	-41.820103
465.655518	-50.535595
468.347168	-75.470673
471.038818	-54.114899
473.730469	-61.905674
476.422119	-52.245777
479.113770	-57.121880
481.805420	-62.766544
484.497070	-53.533176
487.188721	-58.492508
489.880371	-62.576485
492.572021	-61.295418
495.263672	-52.893997
497.955322	-44.904808
500.646973	-48.743603
503.338623	-51.635303
506.030273	-54.935875
508.721924	-63.687119
511.413574	-63.571945
514.105225	-61.890690
516.796875	-53.702427
519.488525	-53.272861
522.180176	-57.842037
524.871826	-63.452385
527.563477	-68.608826
530.255127	-67.366814
532.946777	-62.698975
535.638428	-67.719521
538.330078	-55.150696
541.021729	-51.909492
543.713379	-68.867035
546.405029	-56.943447
549.096680	-54.807861
551.788330	-56.873409
554.479980	-64.536758
557.171631	-75.076385
559.863281	-65.135742
562.554932	-62.836643
565.246582	-63.490803
567.938232	-68.232941
570.629883	-72.734222
573.321533	-59.409954
576.013184	-64.967636
578.704834	-61.523438
581.396484	-63.113697
584.088135	-69.126945
586.779785	-62.535435
589.471436	-70.208191
592.163086	-67.367310
594.854736	-64.758156
597.546387	-67.282188
600.238037	-54.727821
602.929688	-54.958080
605.621338	-56.098053
608.312988	-61.718052
611.004639	-61.307655
613.696289	-57.854462
616.387939	-61.307007
619.079590	-58.780479
621.771240	-56.341469
624.462891	-59.070415
627.154541	-63.797611
629.846191	-77.569351
632.537842	-71.335915
635.229492	-65.703728
637.921143	-62.195625
640.612793	-64.024483
643.304443	-58.616627
645.996094	-71.577225
648.687744	-63.775452
651.379395	-58.394196
654.071045	-67.315285
656.762695	-59.180016
659.454346	-61.831703
662.145996	-61.212784
664.837646	-61.731613
667.529297	-78.053825
670.220947	-59.540714
672.912598	-62.096340
675.604248	-66.047043
678.295898	-55.552616
680.987549	-53.939754
683.679199	-52.547421
686.370850	-57.929733
689.062500	-55.983177
691.754150	-53.282722
694.445801	-55.051449
697.137451	-55.224506
699.829102	-49.751942
702.520752	-49.184139
705.212402	-50.433578
707.904053	-58.499802
710.595703	-52.066063
713.287354	-52.446758
715.979004	-65.062325
718.670654	-65.663086
721.362305	-55.969570
724.053955	-54.844341
726.745605	-55.688683
729.437256	-59.607254
732.128906	-51.452980
734.820557	-60.201954
737.512207	-54.615955
740.203857	-53.214161
742.895508	-62.379623
745.587158	-73.090919
748.278809	-71.085632
750.970459	-78.917290
753.662109	-74.008308
756.353760	-61.691418
759.045410	-65.627190
761.737061	-64.730774
764.428711	-68.738213
767.120361	-63.400005
769.812012	-63.730236
772.503662	-62.318935
775.195313	-63.017593
777.886963	-64.947182
780.578613	-63.366001
783.270264	-74.327126
785.961914	-64.213699
788.653564	-79.678101
791.345215	-62.874699
794.036865	-77.209679
796.728516	-67.964661
799.420166	-71.288437
802.111816	-73.612999
804.803467	-75.456528
807.495117	-68.081589
810.186768	-74.282013
812.878418	-73.175774
815.570068	-60.531387
818.261719	-61.535942
820.953369	-64.033463
823.645020	-60.210190
826.336670	-64.663368
829.028320	-66.403442
831.719971	-68.454735
834.411621	-61.078594
837.103271	-67.262527
839.794922	-67.518486
842.486572	-67.827438
845.178223	-64.432091
847.869873	-62.296795
850.561523	-74.400177
853.253174	-60.641850
855.944824	-68.859535
858.636475	-68.584984
861.328125	-63.464199
864.019775	-63.166000
866.711426	-64.453896
869.403076	-67.551132
872.094727	-59.132713
874.786377	-62.641079
877.478027	-64.613274
880.169678	-69.306084
882.861328	-66.800812
885.552979	-69.660881
888.244629	-63.918098
890.936279	-63.210430
893.627930	-68.436531
896.319580	-54.860027
899.011230	-50.952507
901.702881	-55.588009
904.394531	-57.109470
907.086182	-57.505398
909.777832	-70.811356
912.469482	-64.387703
915.161133	-61.608128
917.852783	-62.598434
920.544434	-58.212620
923.236084	-54.488041
925.927734	-55.945908
928.619385	-76.306747
931.311035	-60.225212
934.002686	-63.955929
936.694336	-68.688866
939.385986	-66.372208
942.077637	-60.370682
944.769287	-61.801769
947.460938	-65.981590
950.152588	-74.875397
952.844238	-68.946671
955.535889	-76.292305
958.227539	-67.740334
960.919189	-62.314583
963.610840	-72.980949
966.302490	-68.923447
968.994141	-61.104996
971.685791	-66.091469
974.377441	-72.062431
977.069092	-69.171486
979.760742	-64.596458
982.452393	-61.523186
985.144043	-68.683487
987.835693	-70.488060
990.527344	-66.481964
993.218994	-71.211945
995.910645	-76.189484
998.602295	-66.450813
1001.293945	-61.924175
1003.985596	-60.051823
1006.677246	-64.940468
1009.368896	-82.063148
1012.060547	-74.964958
1014.752197	-75.001625
1017.443848	-70.351547
1020.135498	-65.161041
1022.827148	-60.190483
1025.518799	-61.161015
1028.210449	-67.981483
1030.902100	-68.732391
1033.593750	-82.096748
1036.285400	-85.439041
1038.977051	-74.561653
1041.668701	-65.060646
1044.360352	-61.623631
1047.052002	-65.151382
1049.743652	-71.131035
1052.435303	-77.309860
1055.126953	-70.899529
1057.818604	-71.422295
1060.510254	-73.419716
1063.201904	-64.919350
1065.893555	-67.451286
1068.585205	-70.296265
1071.276855	-69.631783
1073.968506	-67.439194
1076.660156	-65.274437
1079.351807	-65.614204
1082.043457	-72.427124
1084.735107	-74.318741
1087.426758	-73.764809
1090.118408	-68.477219
1092.810059	-64.833740
1095.501709	-70.627876
1098.193359	-73.873367
1100.885010	-69.041473
1103.576660	-70.625282
1106.268311	-65.482925
1108.959961	-65.697105
1111.651611	-78.753067
1114.343262	-74.427650
1117.034912	-80.227112
1119.726563	-80.810616
1122.418213	-80.320854
1125.109863	-70.054291
1127.801514	-73.477028
1130.493164	-69.800697
1133.184814	-69.671906
1135.876465	-78.198158
1138.568115	-82.662163
1141.259766	-77.751404
1143.951416	-70.779961
1146.643066	-68.471504
1149.334717	-69.340248
1152.026367	-76.339653
1154.718018	-72.595665
1157.409668	-70.659492
1160.101318	-64.908340
1162.792969	-68.586075
1165.484619	-61.380642
1168.176270	-56.402855
1170.867920	-66.880310
1173.559570	-66.693733
1176.251221	-71.106316
1178.942871	-85.450920
1181.634521	-73.646347
1184.326172	-70.742294
1187.017822	-63.946697
1189.709473	-69.326378
1192.401123	-74.189606
1195.092773	-73.767448
1197.784424	-71.711830
1200.476074	-84.589828
1203.167725	-72.464523
1205.859375	-78.398987
1208.551025	-73.965218
1211.242676	-70.807899
1213.934326	-75.730003
1216.625977	-62.597683
1219.317627	-65.392502
1222.009277	-70.222023
1224.700928	-70.621567
1227.392578	-81.217232
1230.084229	-67.417503
1232.775879	-70.114098
1235.467529	-67.101898
1238.159180	-64.715851
1240.850830	-68.537262
1243.542480	-70.625122
1246.234131	-79.194237
1248.925781	-74.010544
1251.617432	-74.576683
1254.309082	-70.124039
1257.000732	-65.577484
1259.692383	-73.998779
1262.384033	-69.747421
1265.075684	-77.997429
1267.767334	-76.723015
1270.458984	-68.514954
