Version,Name,Match 1,Match 2,Match 3,Match 4,Match 5,Match 6
3DS,Brian.D,Mario,Fox,Kirby,Sonic,Link,Mario
3DS,Dogadox,Mega Man,,,,,
3DS,Thédel,Pit,,,,,
3DS,Rockstar,Jigglypuff,,,,,
3DS,sal,Ike,Ike,Mario,Kirby,Ike,
3DS,Red,Mega Man,Mega Man,,,,
3DS,ale,Ness,Ness,Ness,Zero Suit Samus,,
3DS,Mr.A+,Little Mac,,,,,
3DS,fearless,Greninja,Greninja,Greninja,Greninja,Greninja,
3DS,rad,Zero Suit Samus,,,,,
3DS,Jared,Fox,Falco,Fox,Fox,Mega Man,
3DS,(Jpn name),Marth,,,,,
3DS,Topher,Diddy Kong,Link,Greninja,Falco,,
3DS,Pip,Little Mac,,,,,
3DS,paullee,Pikachu,Pikachu,Toon Link,Toon Link,,
3DS,Sebastian,Captain Falcon,Little Mac,Little Mac,Little Mac,Zelda,Captain Falcon
3DS,Datboi$$,Dr. Mario,Dr. Mario,Luigi,Dr. Mario,Dr. Mario,
3DS,RICARDO,Link,,,,,
3DS,(Jpn name),Link,,,,,
3DS,Nimbus,Captain Falcon,Mr. Game & Watch,Little Mac,Mr. Game & Watch,,
3DS,KrupL,Mario,Mario,,,,
3DS,Vi©to®,Bowser,Little Mac,Little Mac,Captain Falcon,,
Wii U,Anthony,Yoshi,Yoshi,Bowser Jr.,,,
3DS,JONATHAN,Jigglypuff,Jigglypuff,Jigglypuff,Jigglypuff,Jigglypuff,
3DS,Wes,Pikachu,Pikachu,Pikachu,,,
3DS,DJ[R&ZO…,Ike,Luigi,Ike,,,
3DS,Danger,Diddy Kong,R.O.B.,Pikachu,Toon Link,,
3DS,Chiguel,R.O.B.,,,,,
3DS,TJ,Link,Ganondorf,Link,Link,Ganondorf,,
3DS,Zack,Lucario,Little Mac,Lucario,Sonic,Captain Falcon,,
3DS,Joc,Little Mac,Little Mac,,,,
3DS,Bethany,Link,,,,,
3DS,Maša (f),Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,,
3DS,Trump,Captain Falcon,,,,,
3DS,delio,Ness,Lucario,Mr. Game & Watch,Luigi,,
Wii U,[TK]Johnny,Toon Link,Pit,Toon Link,Palutena,Pit,
3DS,(star)Vent(star),Little Mac,Little Mac,Link,Link,,
3DS,(Jpn name),Sheik,Palutena,,,,
3DS,[tsuyo](m),Luigi,Zelda,Ness,Samus,,
3DS,NO NAME,Marth,Marth,Lucina,Lucina,Robin,,
3DS,JACK!!!…,Mega Man,Dark Pit,Villager,Kirby,,
3DS,Wolf,Little Mac,,,,,
3DS,kurohig…,Captain Falcon,Link,,,,
Wii U,Alj,Ganondorf,Ganondorf,,,,
Wii U,aran,Ness,,,,,
Wii U,michou,Bowser,Link,Link,Link,Ike,,
3DS,Zhido,Pit,,,,,
3DS,Matt,Captain Falcon,,,,,
3DS,Dan!el,Mega Man,Mega Man,Mega Man,Mega Man,,
Wii U,(Jpn name),Bowser Jr.,Bowser Jr.,Bowser Jr.,,,
Wii U,(Jpn name),Zero Suit Samus,Fox,Rosalina & Luma,Lucina,,
Wii U,AbT,Mewtwo,Zero Suit Samus,Samus,Mewtwo,Mewtwo,
3DS,Sonicki…,Lucina,,,,,
3DS,Micky,Captain Falcon,Captain Falcon,Captain Falcon,,,
3DS,AustenA…,Mario,Greninja,,,,
3DS,DXR,Pac-man,Pac-man,,,,
3DS,Omar,Little Mac,Little Mac,Greninja,Bowser Jr.,Falco,
3DS,jbeast,Samus,Villager,,,,
3DS,Aria,King Dedede,,,,,
3DS,Bravo B…,Samus,,,,,
3DS,Link,Mewtwo,Lucario,Pit,Mewtwo,,
Wii U,Mick,Duck Hunt,,,,,
Wii U,(Jpn name),Luigi,,,,,
Wii U,Kenneth,Mewtwo,,,,,
Wii U,(Jpn name),Ganondorf,Ganondorf,Mewtwo,Ganondorf,,
Wii U,Giovanni,Pac-man,Bowser,Little Mac,Mewtwo,Mewtwo,
3DS,Nathan,Pikachu,Captain Falcon,Diddy Kong,,,
3DS,Kyle,Mewtwo,Shulk,King Dedede,Ike,Mr. Game & Watch,Peach
3DS,Ryxai,Dr. Mario,Ganondorf,,,,
3DS,BrayWya…,King Dedede,King Dedede,,,,
3DS,Coulson,Captain Falcon,Captain Falcon,Captain Falcon,
3DS,orange,Fox,Sonic,Fox,Dark Pit,,
3DS,Gib,Mario,Captain Falcon,Dr. Mario,,,
3DS,DoublePK,Mega Man,Luigi,,,,
3DS,(star)M(star),Falco,Link,Link,Pikachu,Villager,
3DS,NegaNixx,Marth,Marth,Marth,Falco,Falco,Falco
3DS,Dage,Fox,Fox,Fox,Fox,,
3DS,Gaterai…,Ganondorf,,,,,
3DS,Jacob,Dr. Mario,,,,,
3DS,lukitas…,Mega Man,Marth,Mewtwo,Bowser,Ganondorf,Ganondorf
3DS,Zaquers…,Bowser,,,,,
3DS,Aiden,Dr. Mario,,,,,
3DS,superli…,Link,,,,,
3DS,Marc,Marth,,,,,
3DS,Deaner,Bowser,,,,,
Wii U,Eric,Lucina,Mario,Villager,Kirby,,
Wii U,Looc,Jigglypuff,,,,,
Wii U,Christian,Sheik,Villager,,,,
3DS,Descor,Sonic,Mr. Game & Watch,Mr. Game & Watch,,,
3DS,Artemis,Palutena,Wii Fit Trainer,,,,
3DS,(Jpn name),Jigglypuff,Jigglypuff,,,,
3DS,The pro…,Charizard,Charizard,Charizard,Greninja,,
3DS,miles(f)p…,Sonic,Yoshi,Sonic,,,
3DS,Evilguy,Pac-man,Pac-man,Palutena,Captain Falcon,,
3DS,Dustin,Pikachu,Pikachu,,,,
3DS,luke,Pit,,,,,
3DS,Raiden,Ganondorf,Samus,Falco,Palutena,,
3DS,P(phi)L(gamma)G(crossed o)N,Jigglypuff,Jigglypuff,,,,
3DS,DanKato,Sheik,Link,,,,
3DS,(down triangle) Gamze…,Mewtwo,Mewtwo,Mewtwo,Captain Falcon,,
3DS,Key,Toon Link,Palutena,Dark Pit,Toon Link,Lucina,
3DS,jj,Ganondorf,R.O.B.,R.O.B.,R.O.B.,,,
3DS,Evan,Yoshi,,,,,
3DS,(Jpn name),Ganondorf,R.O.B.,Villager,,,
Wii U,Charles,Dark Pit,Pikachu,Link,Ganondorf,Zelda,Toon Link
Wii U,numnums,Donkey Kong,Rosalina & Luma,Zero Suit Samus,Wii Fit Trainer,Robin,Ness
Wii U,NU~BE~,Mewtwo,Mewtwo,Lucario,,,
Wii U,Aureoloss,Marth,Dark Pit,Link,Peach,,
