name,value
Australia,Released
New Zealand,Released
United States of America,Released
Germany,Released
Great Britain,Released
Italy,Released
Spain,Released
Portugal,Released
Austria,Released
Belgium,Released
Bulgaria,Released
Croatia,Released
Cyprus,Released
Czech Republic,Released
Denmark,Released
Estonia,Released
Finland,Released
Greece,Released
Hungary,Released
Iceland,Released
Ireland,Released
Latvia,Released
Lithuania,Released
Luxembourg,Released
Malta,Released
Netherlands,Released
Norway,Released
Poland,Released
Romania,Released
Slovakia,Released
Slovenia,Released
Sweden,Released
Switzerland,Released
Canada,Released
Japan,Released
France,Released
Brunei Darussalam,Released
Cambodia,Released
Micronesia,Released
Fiji,Released
Indonesia,Released
Laos,Released
Malaysia,Released
Palau,Released
Papua New Guinea,Released
Philippines,Released
Singapore,Released
Solomon Islands,Released
Thailand,Released
Vietnam,Released
Albania,Released
Bosnia and Herzegovina,Released
Macedonia,Released
Serbia,Released
Kazakhstan,Released
Kyrgyzstan,Released
Mongolia,Released
Tajikistan,Released
Turkmenistan,Released
Uzbekistan,Released
Benin,Released
Botswana,Released
Burkina Faso,Released
Cabo Verde,Released
Chad,Released
Côte d'Ivoire,Released
Egypt,Released
Gabon,Released
Gambia,Released
Ghana,Released
Guinea-Bissau,Released
Kenya,Released
Liberia,Released
Madagascar,Released
Malawi,Released
Mauritania,Released
Mauritius,Released
Morocco,Released
Mozambique,Released
Namibia,Released
Niger,Released
Rwanda,Released
Seychelles,Released
São Tomé and Príncipe,Released
Sierra Leone,Released
South Africa,Released
Swaziland,Released
Tanzania,Released
Togo,Released
Uganda,Released
Zambia,Released
Bahrain,Released
Israel,Released
Jordan,Released
Kuwait,Released
Lebanon,Released
Oman,Released
Qatar,Released
United Arab Emirates,Released
Bangladesh,Released
Bhutan,Released
India,Released
Nepal,Released
Pakistan,Released
Sri Lanka,Released
South Korea,Released
Mexico,Released
Belize,Released
Guatemala,Released
Honduras,Released
El Salvador,Released
Nicaragua,Released
Costa Rica,Released
Panama,Released
Colombia,Released
Venezuela,Released
Guyana,Released
Suriname,Released
Ecuador,Released
Peru,Released
Bolivia,Released
Brazil,Released
Chile,Released
Paraguay,Released
Uruguay,Released
Argentina,Released
Bahamas,Released
Jamaica,Released
Dominican Republic,Released
Antigua and Barbuda,Released
Saint Kitts and Nevis,Released
Saint Lucia,Released
Dominica,Released
Saint Vincent and the Grenadines,Released
Barbados,Released
Grenada,Released
Trinidad and Tobago,Released
Haiti,Released
